,Station,Station_name,lat,long,Coordinates
0,8723214,Greater Miami,25.731667,-80.161667,POINT (-80.16166699999999 25.731667)
1,8594900,Washington DC,38.873,-77.0217,POINT (-77.0217 38.873)
2,9447130,Seattle,47.601944,-122.339167,POINT (-122.339167 47.601944)
3,9414290,San Franscisco,37.806306,-122.465889,POINT (-122.465889 37.806306)
4,9410660,Los Angeles,33.719944,-118.272861,POINT (-118.272861 33.719944)
5,8761305,New Orleans,29.8683,-89.673,POINT (-89.673 29.8683)
6,8536110,Cape May,38.967778,-74.959722,POINT (-74.959722 38.967778)
7,8443970,Boston,42.354801,-71.0534,POINT (-71.0534 42.354801)
8,8518750,New York,40.700556,-74.014167,POINT (-74.014167 40.700556)
9,8545240,Philadelphia,39.933333,-75.141667,POINT (-75.141667 39.933333)
10,8771450,Galveston,29.31,-94.793306,POINT (-94.793306 29.31)
11,8638610,Sewells Point,36.946701,-76.330002,POINT (-76.33000199999999 36.946701)
12,8534720,Atlantic City,39.356667,-74.418053,POINT (-74.418053 39.356667)
13,8574680,Baltimore,39.266944,-76.579444,POINT (-76.579444 39.266944)
